City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
216,cangucu,-31.395,-52.6756,62.87000000000006,53,0,0.33,BR,1730031973
217,punta arenas,-53.15,-70.9167,48.30800000000001,66,20,12.86,CL,1730031974
218,tyup,42.7276,78.3648,49.56800000000008,54,77,0.33,KG,1730031975
219,mili,6.0815,171.735,83.60600000000002,72,89,2.97,MH,1730031976
220,whangarei,-35.7317,174.3239,49.208000000000006,80,5,1.71,NZ,1730031977
221,bamboo flat,11.7,92.7167,80.90600000000003,75,25,4.09,IN,1730031978
222,darlington,54.5243,-1.5504,53.492,67,40,5.66,GB,1730031979
223,balkanabat,39.5108,54.3671,57.97400000000001,44,67,5.18,TM,1730031981
224,tazovsky,67.4667,78.7,17.041999999999994,95,100,5.11,RU,1730031982
225,san antonio de pale,-1.4014,5.6325,77.95400000000005,84,77,6.09,GQ,1730031983
226,dongsheng,39.8161,109.9776,46.43600000000007,58,86,1.72,CN,1730031984
227,ritchie,-29.038,24.6028,65.96600000000001,26,100,12.88,ZA,1730031985
228,paita,-5.0892,-81.1144,63.28399999999999,87,32,5.39,PE,1730031986
229,mahanoro,-19.9,48.8,80.924,73,98,5.59,MG,1730031987
230,preobrazheniye,42.9019,133.9064,41.68399999999999,74,73,4.24,RU,1730031988
231,alta,69.9689,23.2717,42.06200000000005,65,0,4.12,NO,1730031989
232,mossel bay,-34.1831,22.146,67.92800000000007,43,66,8.54,ZA,1730031990
233,leshan,29.5623,103.7639,64.36400000000003,67,2,0.93,CN,1730031991
234,lebu,-37.6167,-73.65,52.12400000000001,79,12,7.45,CL,1730031994
235,kailua-kona,19.6406,-155.9956,76.96400000000003,89,20,6.17,US,1730031995
236,crane,31.3974,-102.3501,63.35600000000003,72,1,3.96,US,1730031996
237,rio grande,-32.035,-52.0986,62.11400000000003,61,0,2.54,BR,1730031891
238,zakynthos,37.7914,20.8953,72.71600000000001,56,20,2.06,GR,1730031998
239,marsa alam,25.0757,34.8918,81.55400000000006,49,0,7.21,EG,1730031999
240,brookings,44.3114,-96.7984,42.8,69,0,5.66,US,1730031858
241,smolensk,55.0,33.0,49.02800000000006,67,89,2.22,RU,1730032001
242,kodinsk,58.6881,99.1844,33.908,99,100,1.09,RU,1730032002
243,iskateley,67.6803,53.1512,33.62000000000006,87,32,3.47,RU,1730032004
244,broome,42.2506,-75.833,34.32200000000004,81,29,0.89,US,1730032005
245,yarmouth,41.7057,-70.2286,48.95600000000003,54,0,9.39,US,1730032006
246,san carlos,9.6612,-68.5827,79.19600000000005,78,6,0.76,VE,1730032007
247,papao,-17.75,-149.55,76.67600000000009,71,100,7.31,PF,1730032008
248,mungwi,-10.1732,31.3694,90.55400000000006,21,84,1.83,ZM,1730032009
